id,name,profile_name,clicks,registrations,ftd_count,reg_rate,ftd_rate,ngr_per_ftd,total_ngr,retention_30d
292,Young Ltd,SEO,38424,2508,919,0.0653,0.3666,134.76,123844,0.4646
293,Bright-Francis,SEO,39428,3483,1014,0.0884,0.2914,197.28,200039,0.6038
294,Good-Hodges,SEO,5125,314,97,0.0613,0.3094,195.15,18930,0.4884
295,"Brennan, Wallace and Benson",SEO,7172,629,180,0.0878,0.2873,209.89,37780.5,0.4676
296,Williams Inc,SEO,16247,898,265,0.0553,0.2954,105.49,27954.9,0.6072
297,Howard-Jordan,SEO,15466,629,224,0.0407,0.3569,163.56,36637.7,0.5585
298,Schmidt PLC,SEO,8185,721,205,0.0881,0.2846,198.61,40715.7,0.6471
299,"Sparks, Jackson and Miller",SEO,14736,611,189,0.0415,0.3101,163.35,30873.4,0.6228
300,Harvey-Allen,SEO,16662,1002,311,0.0602,0.3106,216.83,67435.6,0.5955
301,"Thomas, Murray and King",SEO,5104,224,89,0.044,0.4003,192.5,17132.5,0.589
302,Estrada-Nolan,SEO,4659,359,149,0.0772,0.416,205.03,30549.5,0.5664
303,Santana-Byrd,SEO,6350,394,144,0.0621,0.367,114.48,16484.8,0.4303
304,Jones LLC,SEO,14858,928,329,0.0625,0.3547,214.6,70602,0.4215
305,"Evans, Hayden and Vaughn",SEO,23765,1866,616,0.0785,0.3303,105.38,64911.4,0.6426
306,Bruce-Gonzalez,SEO,4392,355,147,0.0809,0.4143,137.07,20149.5,0.4273
307,Castaneda-Rodriguez,SEO,30497,1883,776,0.0618,0.4123,162.27,125924,0.5563
308,Armstrong-Andrews,SEO,36641,2890,1190,0.0789,0.412,135.29,160997,0.5666
309,"Phillips, Spence and Barrett",SEO,7149,634,194,0.0888,0.3064,213.97,41511,0.66
310,Smith-Grimes,SEO,13858,737,266,0.0532,0.3616,122.57,32603,0.6105
311,"Beltran, Lozano and Mcgee",SEO,3847,290,91,0.0754,0.3142,135.43,12324.5,0.489
312,Parsons-Hall,SEO,34217,1890,729,0.0552,0.3861,136.2,99287.9,0.468
313,Robinson-Lee,SEO,28945,2178,713,0.0753,0.3276,193.99,138318,0.5436
314,Byrd-Le,SEO,10928,614,177,0.0563,0.289,103.23,18271,0.4408
315,"Becker, Taylor and Davis",SEO,21351,1180,467,0.0553,0.3965,188.36,87966.4,0.6002
316,"Lucas, Parker and Alexander",SEO,36165,2149,746,0.0594,0.3472,94.4,70421.5,0.4666
317,"Diaz, Anderson and Browning",SEO,17282,1373,429,0.0795,0.3128,167.87,72014.4,0.5417
318,Burgess-Thompson,SEO,8333,615,195,0.0739,0.3184,208.07,40572.8,0.5552
319,Buchanan LLC,SEO,3812,241,84,0.0635,0.349,129.45,10873.5,0.5337
320,"Shaw, Nelson and Martin",SEO,4015,265,92,0.0661,0.3499,113.43,10435.6,0.5975
321,Coffey-Phillips,SEO,18603,1485,581,0.0798,0.3917,96.22,55901.4,0.5302
322,Brock-Mcdonald,SEO,38736,1996,728,0.0515,0.3651,211.12,153694,0.5924
323,Taylor and Sons,SEO,6847,403,115,0.059,0.2856,192.35,22120.7,0.4874
324,"Ramsey, Whitney and Coffey",SEO,37703,1960,618,0.052,0.3156,168.05,103856,0.4767
325,"Diaz, Gibbs and Smith",SEO,28327,1356,405,0.0479,0.2991,187.34,75871.2,0.422
326,"Martinez, Richardson and Curry",SEO,13124,890,323,0.0678,0.363,97.21,31398.6,0.6298
327,Richards-Carson,SEO,13340,781,326,0.0586,0.4175,104.3,34001.8,0.5744
328,Rodriguez-Hall,SEO,25489,2006,724,0.0787,0.3612,204.29,147907,0.4319
329,Harvey PLC,SEO,12699,909,259,0.0716,0.2857,111.4,28851.8,0.5346
330,Herman-Walker,SEO,37995,2682,938,0.0706,0.35,197.09,184874,0.5717
331,Reid Group,SEO,37928,3275,1171,0.0864,0.3576,100,117098,0.4436
332,"Turner, Ortiz and Taylor",SEO,34968,2005,669,0.0574,0.3337,136.54,91346.5,0.6279
333,Torres Group,SEO,6083,410,117,0.0675,0.2872,202.74,23720.3,0.5631
334,Davis PLC,SEO,36831,2169,706,0.0589,0.3255,117.29,82805.8,0.4427
335,Price LLC,SEO,18403,1654,588,0.0899,0.3556,208.48,122585,0.6785
336,"Avery, Horton and Fernandez",SEO,14044,876,247,0.0624,0.2824,213.67,52776,0.4746
337,"Newton, Moore and Perry",SEO,10110,455,139,0.0451,0.3056,190.23,26441.7,0.6232
338,Bass PLC,SEO,21365,1330,551,0.0623,0.4145,104.05,57328.9,0.6176
339,Crosby-Ramirez,SEO,19093,1195,346,0.0626,0.2898,140.92,48759.1,0.5226
340,"Wood, Ramos and Sampson",SEO,15243,822,256,0.0539,0.3121,127.1,32538.3,0.5585
341,Garcia-Jennings,SEO,35080,1848,571,0.0527,0.3091,217.54,124216,0.5857
342,"Winters, Newman and Brown",SEO,36245,2440,945,0.0673,0.3877,212.09,200427,0.4468
343,Lopez-Martinez,SEO,17490,906,337,0.0519,0.373,98.93,33339.7,0.4708
344,Davis-Lewis,SEO,24052,1731,591,0.072,0.3416,219.66,129818,0.5563
345,"Harper, Smith and Buchanan",SEO,24337,1022,383,0.042,0.375,167.36,64097.8,0.5663
346,Zhang PLC,SEO,24682,1929,713,0.0782,0.3697,218.11,155515,0.6783
347,Jones PLC,SEO,34957,1879,621,0.0538,0.3308,168.87,104869,0.4984
348,Willis and Sons,SEO,7932,639,255,0.0806,0.4001,90.66,23117.2,0.4902
349,Schroeder-Kramer,SEO,32775,2626,1013,0.0801,0.386,183.38,185761,0.4428
350,"Smith, Garrison and Thomas",SEO,32419,2024,630,0.0624,0.3115,98.51,62062.2,0.5168
351,Fernandez and Sons,PPC,46926,1062,328,0.0226,0.3092,109.08,35777.6,0.2796
352,Guerrero Inc,PPC,31496,776,230,0.0246,0.297,92.98,21384.4,0.3452
353,Smith and Sons,PPC,67601,2075,502,0.0307,0.2422,67.61,33938.7,0.2401
354,"Morris, Thompson and Williams",PPC,30589,550,138,0.018,0.252,74.86,10330.5,0.3009
355,"Fisher, Wilson and Brown",PPC,26476,642,118,0.0243,0.1842,76.14,8984.63,0.4077
356,Strickland-Palmer,PPC,56990,994,257,0.0175,0.2587,96.48,24794.4,0.3916
357,Hayes and Sons,PPC,67270,2074,389,0.0308,0.188,60.41,23497.8,0.2721
358,"Williams, Logan and Camacho",PPC,25975,756,220,0.0291,0.292,69.58,15307.8,0.3822
359,"Turner, Schneider and Johnson",PPC,108509,2723,784,0.0251,0.2883,67.15,52644.3,0.3691
360,Boone-Simmons,PPC,94033,1737,495,0.0185,0.2854,103.01,50990.6,0.3429
361,Henry Group,PPC,62674,1883,406,0.0301,0.216,71.55,29049.9,0.3064
362,Lam LLC,PPC,24197,826,209,0.0342,0.2539,48,10032.9,0.3833
363,"Hernandez, Martinez and Weber",PPC,25700,423,83,0.0165,0.1976,45.77,3799.23,0.3446
364,"Kelley, Nguyen and Vang",PPC,89335,1638,419,0.0183,0.2559,69.83,29256.9,0.2343
365,"Phillips, Wagner and Jordan",PPC,47966,1424,320,0.0297,0.2254,64.25,20558.6,0.2535
366,"Wilson, Pena and Rich",PPC,57467,1288,350,0.0224,0.2724,92.69,32442.1,0.3589
367,"Le, Lewis and Hayes",PPC,24619,410,118,0.0167,0.2899,65.45,7722.85,0.2532
368,Gutierrez Group,PPC,40670,1329,351,0.0327,0.2643,79.24,27812.5,0.3592
369,Perry-Davis,PPC,39895,1305,408,0.0327,0.313,106.95,43636.8,0.3527
370,Edwards-Scott,PPC,31987,748,192,0.0234,0.2575,67.56,12971.1,0.2889
371,Mcdaniel Group,PPC,56136,1419,399,0.0253,0.2819,103.87,41444.1,0.3416
372,Davis Inc,PPC,66725,1934,368,0.029,0.1904,73.06,26885,0.304
373,Reynolds Ltd,PPC,116575,2080,588,0.0178,0.2829,104.2,61268.7,0.3848
374,"Watson, Anderson and Brown",PPC,52471,982,222,0.0187,0.2265,77.84,17281.4,0.243
375,"Hoffman, Santiago and Jenkins",PPC,108800,2033,616,0.0187,0.3032,87.87,54130.5,0.2656
376,"Pugh, Henderson and Moon",PPC,27338,712,181,0.0261,0.2547,49.46,8951.91,0.4056
377,Schmitt PLC,PPC,21173,378,93,0.0179,0.2466,96.55,8979.21,0.299
378,Bell-Lane,PPC,118764,3381,949,0.0285,0.2807,50.77,48182.3,0.2957
379,Moore Group,PPC,75036,2191,509,0.0292,0.2325,101.63,51731.6,0.3742
380,Boone LLC,PPC,107677,3763,1169,0.035,0.3107,84.63,98932.1,0.3409
381,"Richardson, Farmer and Andrews",PPC,52949,1211,255,0.0229,0.211,47.6,12137.4,0.4169
382,Bruce-Villegas,PPC,84854,2346,487,0.0277,0.2077,53.73,26165.6,0.3937
383,"Austin, Day and Johnson",PPC,23629,557,125,0.0236,0.2259,92.68,11584.8,0.3902
384,"Gallegos, Adams and White",PPC,60418,1981,596,0.0328,0.3012,47.73,28449.2,0.3343
385,"Farmer, Dorsey and Bell",PPC,62334,1013,311,0.0163,0.3071,61.21,19035.3,0.2385
386,Kane PLC,PPC,62243,2039,631,0.0328,0.3097,52.14,32901.5,0.3946
387,"Morales, Thomas and Schultz",PPC,34920,1122,226,0.0321,0.2023,92.7,20950.4,0.2667
388,Davis PLC,PPC,35934,813,234,0.0226,0.2889,102.92,24083.6,0.3001
389,Bennett Group,PPC,114514,2504,640,0.0219,0.2558,96.97,62062.9,0.2881
390,Moore-Collins,PPC,43310,1124,332,0.026,0.2956,49.56,16452.5,0.2578
391,Frank-Bradley,PPC,38578,1033,297,0.0268,0.2875,52.43,15571.5,0.2945
392,Ware and Sons,PPC,25535,703,181,0.0276,0.2584,68.42,12383.7,0.2358
393,Webster Inc,PPC,18881,627,158,0.0332,0.2533,72.5,11454.7,0.3642
394,"Miller, Ramos and Coleman",PPC,64218,1029,327,0.016,0.3184,82.39,26940.4,0.3457
395,"Ramos, Nelson and Fischer",PPC,90021,2017,621,0.0224,0.308,78.02,48447.9,0.2929
396,Reed Inc,PPC,105265,3431,714,0.0326,0.2084,71.73,51218.7,0.2942
397,Gregory-Watkins,PPC,52760,1814,390,0.0344,0.2153,60.72,23679.2,0.2912
398,"Estrada, Williams and Foster",PPC,101248,1708,309,0.0169,0.1814,68.14,21055.3,0.3391
399,"Brown, Harris and Dougherty",PPC,60279,1985,631,0.0329,0.318,57.7,36410.9,0.347
400,Duran LLC,PPC,17029,295,93,0.0174,0.3162,75.97,7065.05,0.2997
401,Wilson-Jimenez,PPC,76918,2448,557,0.0318,0.2276,72.2,40214.8,0.274
402,Thompson-James,PPC,100765,3026,826,0.03,0.273,50.64,41831.1,0.2536
403,"Hall, Hansen and Barnett",PPC,89884,1687,380,0.0188,0.2255,104.85,39843.1,0.3194
404,Jones-Hensley,PPC,29167,812,213,0.0278,0.2628,95.32,20302.9,0.3612
405,Graham Group,PPC,52405,1657,453,0.0316,0.2737,93.16,42200.4,0.2903
406,Atkins PLC,PPC,106201,3551,1062,0.0334,0.2993,56.27,59758,0.3951
407,Berry-Mckinney,PPC,111970,1759,412,0.0157,0.2344,108.94,44885.1,0.321
408,Roberts-Sullivan,PPC,49338,1293,263,0.0262,0.2039,63.65,16740,0.3059
409,Jackson-Meza,PPC,92378,2670,699,0.0289,0.2619,45.06,31498.5,0.233
410,Collier-Gillespie,PPC,97059,1988,584,0.0205,0.294,47.31,27629.8,0.2964
411,Kim Inc,PPC,60296,1259,281,0.0209,0.2234,48.05,13502.2,0.3867
412,Graham Group,PPC,41544,1112,343,0.0268,0.3086,46.94,16099.5,0.3892
413,"Miller, Harrell and Reese",PPC,86086,1707,361,0.0198,0.2116,54.99,19853,0.3958
414,Cook and Sons,PPC,93991,2265,606,0.0241,0.2678,88.79,53803.9,0.3804
415,Dixon Inc,PPC,18365,299,57,0.0163,0.1908,52.36,2984.67,0.3845
416,"Hicks, Bullock and Bailey",PPC,38767,628,200,0.0162,0.3197,55.48,11096.7,0.2253
417,"Mullen, Brewer and Hernandez",PPC,49774,1624,472,0.0326,0.2908,81.24,38345,0.368
418,Thomas and Sons,PPC,19609,574,167,0.0293,0.2911,84.82,14164.3,0.2829
419,Morrison Ltd,PPC,98499,2291,669,0.0233,0.2921,65.64,43914.4,0.4137
420,Thompson Ltd,PPC,67856,1415,414,0.0209,0.2926,86.07,35633.7,0.2726
421,Marshall-Elliott,PPC,23573,526,111,0.0223,0.2114,72.93,8095.38,0.4154
422,"Cole, Glass and Cunningham",PPC,57190,1206,369,0.0211,0.3063,61.98,22870.2,0.362
423,"Downs, Morris and Maddox",PPC,74328,2226,477,0.0299,0.2144,66.34,31645.2,0.2856
424,Hernandez-Jones,PPC,71350,2358,745,0.0331,0.3161,53.79,40075.4,0.2663
425,Welch-Hogan,PPC,66349,1365,273,0.0206,0.2006,56.22,15348.1,0.3242
426,"Brown, Romero and Collins",PPC,93953,3109,862,0.0331,0.2775,84.61,72930,0.3527
427,Johnson-Wood,PPC,107159,2426,559,0.0226,0.2307,96.66,54030.3,0.3029
428,Jones-Lin,PPC,26064,666,130,0.0256,0.1963,94.69,12310,0.3177
429,Gilbert PLC,PPC,107277,3414,1022,0.0318,0.2995,89.05,91005.1,0.3025
430,Ford-Spencer,PPC,52504,840,183,0.016,0.2182,104.09,19048.9,0.3762
431,"Huang, Cole and Pacheco",PPC,49095,1298,274,0.0264,0.2112,100.23,27462.5,0.3956
432,"Lopez, Jacobs and Mason",PPC,89537,3043,721,0.034,0.2371,108.37,78136.4,0.2767
433,Hayes LLC,PPC,37645,1050,328,0.0279,0.313,85.29,27973.9,0.2823
434,"Miller, Lucas and Williams",PPC,45031,1112,210,0.0247,0.1889,78.23,16428,0.2303
435,"Kim, Gonzales and Mills",PPC,106999,2813,871,0.0263,0.3098,47.15,41068.6,0.4039
436,Cox LLC,PPC,115171,2028,588,0.0176,0.2901,102.3,60153.9,0.3804
437,Ortiz-Morgan,PPC,77616,1545,352,0.0199,0.2284,100.13,35245,0.3367
438,"Williams, Mccoy and Cook",PPC,75277,1762,444,0.0234,0.2522,82.22,36505.2,0.229
439,Davis-Gregory,PPC,54531,1852,522,0.034,0.2822,90.92,47460.2,0.3881
440,King-York,PPC,115673,3103,569,0.0268,0.1836,101.92,57994.8,0.2467
441,"Marks, Cook and Aguilar",PPC,53014,1244,361,0.0235,0.2902,96.07,34682.5,0.3202
442,Rangel LLC,PPC,64864,1602,410,0.0247,0.2564,101.39,41567.9,0.3021
443,"Hale, Myers and Larson",PPC,31635,637,156,0.0202,0.2464,85.68,13366,0.3108
444,Collins Group,PPC,64251,1747,445,0.0272,0.255,47.63,21195.4,0.2792
445,"Conner, Li and Santiago",PPC,50383,1135,226,0.0225,0.1998,62.93,14222.7,0.2879
446,"Osborn, Gaines and Davis",PPC,51825,1502,362,0.029,0.2414,77.17,27936.8,0.2841
447,"Henderson, Cox and Cox",PPC,118440,1854,525,0.0157,0.2832,58.78,30859.6,0.4049
448,Bean LLC,PPC,65242,1850,538,0.0284,0.2911,87.94,47311.2,0.399
449,Lee-Cooke,PPC,19639,449,117,0.0229,0.2619,56.17,6571.95,0.3323
450,Jones Inc,PPC,72143,1208,307,0.0167,0.2544,94.16,28906.8,0.2453
451,"Wise, Conley and Stephenson",PPC,23705,733,198,0.0309,0.271,69.62,13785.5,0.2606
452,Stanley PLC,PPC,69333,2033,412,0.0293,0.203,55.15,22722.5,0.4036
453,Harper and Sons,PPC,110026,1975,462,0.018,0.2343,83.34,38504.8,0.3027
454,White Ltd,PPC,87625,2600,716,0.0297,0.2757,60.39,43241.4,0.323
455,"Lamb, Martin and Kim",PPC,101318,1528,456,0.0151,0.2989,65.15,29710,0.262
456,Diaz-Ball,PPC,53537,982,197,0.0183,0.2009,63.99,12605.8,0.367
457,Bishop-Goodwin,PPC,61062,1900,446,0.0311,0.2348,51.64,23029.4,0.4028
458,Young-Allen,PPC,55173,1535,283,0.0278,0.1846,47.2,13356.6,0.3011
459,Mckee-Lee,PPC,39585,684,213,0.0173,0.3125,96.55,20565.8,0.3508
460,"Valentine, Joyce and Murray",PPC,82661,1332,309,0.0161,0.232,93.21,28801.6,0.3352
461,Strickland-Shaw,PPC,92653,2515,507,0.0271,0.2018,54.14,27449.6,0.2581
462,Burch-Montoya,PPC,97484,3381,695,0.0347,0.2057,99.42,69095.2,0.3174
463,"Taylor, Wright and Davidson",PPC,111085,2088,544,0.0188,0.2609,92.53,50335.4,0.3476
464,Spencer-Garcia,PPC,86545,2731,726,0.0316,0.2658,73.89,53641.3,0.2273
465,"Rosales, Mitchell and Hines",PPC,112578,2669,752,0.0237,0.2821,92.97,69913.2,0.3275
466,Cole-Palmer,PPC,39478,1219,352,0.0309,0.289,66,23232.2,0.2567
467,Davis-Lozano,PPC,93800,1540,392,0.0164,0.2547,86.38,33860.7,0.415
468,Wilkerson-Arias,PPC,38414,1014,203,0.0264,0.2003,53.92,10946,0.4173
469,Brown-Shaw,PPC,49014,1523,292,0.0311,0.1919,78.95,23052.5,0.3021
470,Hughes Inc,PPC,94997,1986,408,0.0209,0.2058,86.22,35179,0.2452
471,Walker-Flores,PPC,44604,1255,358,0.0281,0.2853,84.61,30289.8,0.3788
472,Combs Ltd,PPC,111755,1915,594,0.0171,0.3103,94.68,56241.6,0.2499
473,Moody-Taylor,PPC,93991,2576,574,0.0274,0.2231,51.61,29623.2,0.4104
474,Lowery-Kennedy,PPC,93632,2635,700,0.0281,0.2659,108.7,76091.6,0.3941
475,Blake Group,PPC,67825,1503,322,0.0222,0.2147,109.88,35380.1,0.2655
476,Gilbert-Bullock,PPC,108678,2822,509,0.026,0.1804,86.02,43782.8,0.3866
477,Scott and Sons,PPC,66443,1593,362,0.024,0.2278,61.06,22102.8,0.3938
478,"Bentley, Lynch and Henderson",PPC,28812,663,137,0.023,0.2075,93.92,12867.4,0.3955
479,Young-Martinez,PPC,17361,453,136,0.0261,0.3005,63.62,8652.57,0.2765
480,Barnes PLC,PPC,56304,978,182,0.0174,0.187,79.98,14555.7,0.2644
481,Brown-Copeland,PPC,79233,1298,358,0.0164,0.276,88.85,31809.5,0.2555
482,Carlson-Smith,PPC,103563,2894,592,0.028,0.2047,106.44,63015.1,0.3926
483,"Andrews, Higgins and Carter",PPC,80714,2604,533,0.0323,0.2049,47.15,25132.2,0.2645
484,Mendez and Sons,PPC,107346,2663,823,0.0248,0.3091,84.1,69212.3,0.3735
485,"Butler, Beck and Miller",PPC,94489,2525,797,0.0267,0.3158,91.44,72878.7,0.2989
486,Jones-Fox,PPC,98694,2740,837,0.0278,0.3055,94.49,79086.5,0.3648
487,"Hartman, Romero and Smith",PPC,114045,3598,813,0.0316,0.226,76.36,62081.1,0.2813
488,Williams-Hughes,PPC,103015,3111,578,0.0302,0.186,51.32,29663.2,0.2353
489,King-Smith,PPC,88121,1711,450,0.0194,0.2632,91.08,40985.8,0.3348
490,Cooper Ltd,PPC,40198,616,168,0.0153,0.273,86.62,14551.5,0.3808
491,"Fuller, Ingram and Moss",PPC,21061,644,168,0.0306,0.2612,96.41,16197.6,0.3837
492,Anderson-Bell,PPC,116258,3382,1027,0.0291,0.3038,66.66,68457.8,0.3281
493,Li-Thompson,PPC,75280,1342,422,0.0178,0.315,65.51,27644.4,0.3912
494,"Marshall, Dominguez and Welch",PPC,44833,1070,197,0.0239,0.185,74.1,14598.2,0.3331
495,Brown Group,PPC,66366,1195,348,0.018,0.2912,56.81,19768.7,0.4035
496,Carter Inc,PPC,107165,2343,580,0.0219,0.2477,109.4,63449.2,0.275
497,Blackwell LLC,PPC,45937,1543,288,0.0336,0.1869,100.41,28919.2,0.4076
498,Robertson-Hays,PPC,75890,2544,558,0.0335,0.2195,63.26,35300.4,0.267
499,"Kennedy, Johnson and Lucas",PPC,26243,695,160,0.0265,0.2311,95.97,15355.4,0.2547
500,Kelly-Norman,PPC,26580,811,197,0.0305,0.2431,81.97,16147.5,0.3331
501,"Rivera, Martinez and Richardson",PPC,27103,934,261,0.0345,0.2798,109.07,28467.2,0.2351
502,Paul-Kline,PPC,101850,1904,545,0.0187,0.2866,94.89,51716.9,0.3366
503,Morgan-Lopez,PPC,114569,3543,833,0.0309,0.2352,52.92,44085.6,0.3282
504,"Jimenez, Glass and Stone",PPC,77793,1377,265,0.0177,0.1928,81.58,21619.7,0.302
505,Acosta Inc,PPC,15631,281,77,0.018,0.2776,105.87,8151.9,0.3229
506,Morrison-Short,PPC,35668,1084,224,0.0304,0.2068,48.29,10816.9,0.3656
507,"Carter, Garcia and Murphy",PPC,73224,2324,640,0.0317,0.2754,52.05,33314.2,0.3587
508,Parker-Morrison,PPC,97312,2523,772,0.0259,0.3063,69.07,53320.2,0.3015
509,Jackson-Wallace,PPC,113305,2296,446,0.0203,0.1946,102.18,45572.1,0.4108
510,Williams-Berg,PPC,23139,794,178,0.0343,0.225,106.51,18959.5,0.3048
511,Mendez-Graham,PPC,87626,2101,433,0.024,0.2064,98.27,42549.4,0.3206
512,"Whitney, Gould and Jones",PPC,119611,3983,1202,0.0333,0.302,45.71,54941.4,0.3823
513,"Sullivan, Palmer and Brady",PPC,66831,2036,448,0.0305,0.2201,60.13,26938.8,0.3973
514,Cisneros and Sons,PPC,23439,619,122,0.0264,0.1978,51.46,6278.43,0.3084
515,"Gregory, Kim and Martinez",PPC,77609,2633,835,0.0339,0.3174,54.46,45472.2,0.3409
516,Osborne LLC,PPC,20330,660,192,0.0325,0.2919,54.83,10527.3,0.2618
517,Reyes-Bradley,PPC,44273,1335,334,0.0302,0.2509,75.22,25122.4,0.2308
518,"Hernandez, Cole and Watson",PPC,89222,2041,513,0.0229,0.2518,80.34,41213.5,0.3104
519,Hines-Berry,PPC,27261,747,144,0.0274,0.1928,53.62,7721.26,0.2395
520,"Richardson, Edwards and Ramirez",PPC,32911,1044,330,0.0317,0.317,80.83,26672.7,0.2554
521,Johnson and Sons,PPC,32674,576,175,0.0177,0.3046,99.58,17425.9,0.4054
522,Holmes-Mcintyre,PPC,93923,1774,475,0.0189,0.2678,105.11,49925,0.4173
523,Green LLC,PPC,116213,1856,488,0.016,0.2634,97.9,47775.6,0.3412
524,"Griffin, Davies and Mitchell",PPC,98143,3103,608,0.0316,0.1962,73.6,44746.2,0.3533
525,Gonzalez-Taylor,PPC,117827,3650,1053,0.031,0.2887,59.9,63078.6,0.2342
526,Hayes Ltd,PPC,69834,1323,290,0.019,0.2194,60.68,17598,0.316
527,Osborn-Cochran,PPC,73675,1865,507,0.0253,0.2722,102.85,52145.1,0.3959
528,Contreras-Mckinney,PPC,93010,1927,425,0.0207,0.2209,93.87,39896,0.3703
529,"Daniels, Vance and York",PPC,51254,986,207,0.0192,0.2104,56.22,11637.1,0.3598
530,"Mckinney, Graves and Thompson",PPC,115576,2062,409,0.0178,0.1984,82.34,33676.1,0.3228
531,Hicks-Martinez,PPC,58949,1815,363,0.0308,0.2003,80.88,29358.6,0.2988
532,Conner and Sons,PPC,71369,2212,523,0.031,0.2367,45.74,23922.1,0.3648
533,Johnson-Spencer,PPC,110632,1933,482,0.0175,0.2496,48.72,23484.8,0.2505
534,Mcdonald-Bird,PPC,18638,367,108,0.0197,0.2956,63.36,6842.66,0.2241
535,Salazar Inc,PPC,54980,895,285,0.0163,0.3185,57.94,16513.7,0.382
536,Parker Ltd,PPC,88357,2956,926,0.0335,0.3134,47.73,44199.8,0.3316
537,"Mendoza, Jenkins and Ortiz",PPC,96191,2156,654,0.0224,0.3034,65.81,43042.1,0.3869
538,"Jones, Compton and Day",PPC,40288,826,213,0.0205,0.2582,75.61,16105.1,0.4184
539,Owens-Holmes,PPC,21631,637,121,0.0295,0.1908,75.61,9148.95,0.3759
540,Humphrey PLC,PPC,93300,3184,661,0.0341,0.2077,55.76,36854.9,0.4036
541,"Matthews, Saunders and Anderson",PPC,55946,1179,265,0.0211,0.2249,71.1,18840.8,0.4067
542,"Bartlett, Brown and Martinez",PPC,64515,1636,365,0.0254,0.2233,109.34,39910.2,0.4153
543,Torres and Sons,PPC,81830,2671,521,0.0326,0.1951,87.54,45607,0.2946
544,Donovan-Perez,PPC,52854,1802,559,0.0341,0.3105,104.64,58493.9,0.3117
545,"Jacobson, Singleton and King",PPC,88068,2807,673,0.0319,0.24,96.5,64944.1,0.2652
546,"Huber, Hill and Weber",PPC,51008,1449,267,0.0284,0.1849,86.2,23015.5,0.2999
547,"Ferguson, Shaw and Jackson",PPC,37184,910,191,0.0245,0.2107,109.17,20851.9,0.2924
548,"Moore, Hopkins and Le",PPC,42652,1096,342,0.0257,0.3125,46.13,15777,0.2828
549,"Morgan, Bradshaw and Williams",PPC,20269,466,95,0.023,0.2053,80.34,7632.17,0.3556
550,Miller Ltd,PPC,58355,1074,252,0.0184,0.2355,97.21,24496.9,0.379
551,"Baker, Clark and Armstrong",PPC,87357,2487,589,0.0285,0.2371,102.28,60240.7,0.2995
552,"Fowler, Jimenez and Burton",PPC,63957,1533,295,0.024,0.1927,59.51,17554.1,0.2227
553,May-Turner,PPC,45040,1269,243,0.0282,0.1916,51.18,12436.7,0.2514
554,Ballard Ltd,PPC,37431,1234,389,0.033,0.3158,78.07,30368.7,0.3494
555,Evans-Jones,PPC,59145,1262,358,0.0213,0.2839,103.15,36927.3,0.3865
556,Moore Group,PPC,60306,2031,478,0.0337,0.2355,94.7,45266.4,0.3764
557,Marshall-Peterson,PPC,81676,1671,502,0.0205,0.3008,78.57,39440.2,0.3816
558,Edwards Ltd,PPC,116209,3436,963,0.0296,0.2804,56.22,54136.7,0.3713
559,Gross-Valencia,PPC,19217,292,81,0.0152,0.2789,104.37,8453.65,0.3891
560,Anderson-Wood,PPC,70903,1411,303,0.0199,0.2151,49.55,15014.7,0.2993
561,"Rodriguez, Allen and Martinez",PPC,43249,759,160,0.0176,0.212,55.4,8863.42,0.3951
562,Wright-Davis,PPC,52589,1543,449,0.0294,0.291,89.51,40188.7,0.2369
563,Dougherty-Lin,PPC,69922,1443,412,0.0206,0.2861,108.4,44661.9,0.2231
564,Wright-Grimes,PPC,71852,1201,322,0.0167,0.2689,72.36,23299.7,0.28
565,Li PLC,PPC,89706,1352,303,0.0151,0.2242,54.06,16378.7,0.3371
566,"Edwards, Hines and Jimenez",PPC,60017,1637,308,0.0273,0.1886,109.96,33868.7,0.2606
567,"Owens, Koch and Jimenez",PPC,33333,971,246,0.0291,0.2537,62,15251,0.3459
568,Landry PLC,PPC,36101,897,240,0.0248,0.2676,78.96,18949.2,0.2264
569,Levy-Lewis,PPC,32080,536,170,0.0167,0.3177,55.14,9374.34,0.3101
570,Williams-Campbell,PPC,42359,1052,290,0.0249,0.2757,85.8,24882.2,0.357
571,"Khan, Pena and Ruiz",PPC,31555,695,181,0.0221,0.2612,93.05,16842.3,0.2851
572,"Smith, Rodriguez and Anderson",PPC,28150,684,156,0.0243,0.2294,52.79,8235.28,0.3287
573,Luna-Gallagher,PPC,21276,661,129,0.0311,0.1955,100.18,12923,0.2846
574,Williams-Williams,PPC,98026,2655,720,0.0271,0.2713,50.46,36328.6,0.3006
575,"Lee, Tran and Jones",PPC,27160,880,221,0.0324,0.2512,77.52,17131.2,0.3633
576,"Cole, Pierce and Bryan",PPC,81845,2590,545,0.0316,0.2105,53.9,29377.3,0.3045
577,"Becker, Wilson and Hester",PPC,109481,2402,492,0.0219,0.2051,72.09,35468.3,0.2234
578,Brooks-Hatfield,PPC,90689,1679,354,0.0185,0.2114,56.68,20066.1,0.2404
579,"Mcmillan, Fischer and Gonzalez",PPC,29222,862,234,0.0295,0.2719,45.75,10704.4,0.3975
580,"Morales, Williams and Williams",PPC,47092,1633,492,0.0347,0.3015,57.3,28190.8,0.4103
581,"Cook, Wells and Bryant",PPC,39885,1013,301,0.0254,0.2973,82.68,24887.2,0.2209
